English,Spanish,French,German,Italian;;;;
Do this trip .,,,,;Haz este viaje...;Faites ce voyage…;Machen Sie diesen Ausflug.,,,,;Fai questo viaggio .,,,,
Again no further contact was received .,,,,;De nuevo, no recibimos más contacto...;Encore une fois, aucun autre contact n'a été reçu…;Auch hier gab es keinen weiteren Kontakt.,,,,;Ancora una volta non abbiamo ricevuto ulteriori contatti .,,,,
Bus took us to Old Town after 25 min wait where we were supposed to have 1.5hrs .,,,,;El autobús nos llevó al casco antiguo después de 25 minutos de espera, cuando se suponía que tendríamos una hora y media...;Le bus nous a emmenés dans la vieille ville après 25 minutes d'attente, alors que nous étions censés avoir une heure et demie…;Der Bus brachte uns nach 25 Minuten Wartezeit in die Altstadt, wo wir eigentlich 1,5 Stunden Zeit hätten haben sollen.,,,,;L'autobus ci ha portato alla Città Vecchia dopo 25 minuti di attesa, mentre avremmo dovuto aspettare 1,5 ore .,,,,
Absolutely eat at the restaurant at the top and try to get a table right on the edge .,,,,;Sin duda, come en el restaurante de arriba e intenta conseguir una mesa justo en la orilla...;Mangez absolument au restaurant au sommet et essayez d'avoir une table juste au bord…;Essen Sie unbedingt im Restaurant oben und versuchen Sie, einen Tisch ganz am Rand zu bekommen.,,,,;Mangia assolutamente al ristorante in cima e cerca di ottenere un tavolo proprio sul bordo .,,,,
A fabulous view which should not be missed .,,,,;Una vista fabulosa que no te puedes perder...;Une vue fabuleuse à ne pas manquer…;Eine fantastische Aussicht, die man sich nicht entgehen lassen sollte.,,,,;Una vista favolosa da non perdere .,,,,
A great way to get your bearings of the area and learn a little more about the war .,,,,;Una forma estupenda de orientarte por la zona y aprender un poco más sobre la guerra...;Un excellent moyen de se repérer dans le quartier et d'en apprendre un peu plus sur la guerre…;Eine tolle Möglichkeit, sich in der Gegend zu orientieren und etwas mehr über den Krieg zu erfahren.,,,,;Un ottimo modo per orientarsi nella zona e saperne un po' di più sulla guerra .,,,,
At least it is very short which in this case was a blessing .,,,,;Al menos es muy corto, lo que en este caso fue una bendición...;Au moins, c'est très court, ce qui, dans ce cas, était une bénédiction…;Zumindest ist es sehr kurz, was in diesem Fall ein Segen war.,,,,;Almeno è molto breve, il che in questo caso è stata una benedizione .,,,,
"And do not stop there ; climb the steep stairs to the top of the fort and the views are even better , not least because the cables of the cable car are not in the way .,,,,";"Y no te quedes ahí; Sube las empinadas escaleras hasta la cima del fuerte y las vistas son aún mejores, sobre todo porque los cables del teleférico no estorban.";"Et ne vous arrêtez pas là ; Montez les escaliers raides jusqu'au sommet du fort et la vue est encore plus belle, notamment parce que les câbles du téléphérique ne gênent pas…";"Und hören Sie hier nicht auf; Steigen Sie die steilen Stufen zur Festungsspitze hinauf, und die Aussicht ist noch besser, nicht zuletzt, weil die Seilbahnkabel nicht im Weg sind.";"E non fermarti qui; sali le ripide scale fino alla cima del forte e la vista è ancora migliore, non da ultimo perché i cavi della funivia non sono d'intralcio.,,,,"
Absolutely beautiful .,,,,;Absolutamente hermoso.;Absolument magnifique…;Einfach wunderschön.;Assolutamente meraviglioso.,,,,
Extremely expensive taxi with poor service quality .,,,,;Taxi extremadamente caro con mala calidad de servicio.;Taxi extrêmement cher avec un service médiocre…;Extrem teures Taxi mit schlechtem Service.;Taxi estremamente costoso con scarsa qualità del servizio.,,,,
Fantasic Views and a good restaurant at the top , we went to the war museum and it was first class , a bit pricey for the cable car but it is what it is .,,,,;Vistas fantásticas y un buen restaurante en la cima. Fuimos al museo de la guerra y era de primera clase, un poco caro para el teleférico, pero es lo que es.;Vues fantastiques et bon restaurant au sommet. Nous sommes allés au musée de la guerre et c'était en première classe, un peu cher pour le téléphérique, mais c'est comme ça…;Fantastische Aussicht und ein gutes Restaurant oben. Wir waren im Kriegsmuseum und es war Erste Klasse, etwas teuer für die Seilbahn, aber es ist, was es ist.;Viste fantastiche e un buon ristorante in cima, siamo andati al museo della guerra ed era di prima classe, un po' caro per la funivia ma è quello che è.,,,,
