English,Spanish,French,German,Italian;;;;
excellent thing to do to pass the time and get good views of the city .,,,,;Una excelente opción para pasar el rato y disfrutar de buenas vistas de la ciudad.;Excellente activité pour passer le temps et profiter d'une belle vue sur la ville.;Eine hervorragende Möglichkeit, sich die Zeit zu vertreiben und einen schönen Blick auf die Stadt zu genießen.;cosa eccellente da fare per passare il tempo e avere una bella vista della città .,,,,
Bizarre and greedy , better get a taxi up there for your money .,,,,;Es extraño y avaricioso, mejor coge un taxi para subir.;Bizarre et gourmand, mieux vaut prendre un taxi pour y aller.;Skurril und gierig, man sollte sich lieber ein Taxi nehmen, um sein Geld zu verdienen.;Bizzarro e avido, meglio prendere un taxi per i tuoi soldi .,,,,
But the best part is just next to it .,,,,;Pero lo mejor está justo al lado.;Mais le meilleur est juste à côté.;Aber das Beste ist gleich daneben.;Ma la parte migliore è proprio lì accanto .,,,,
As everything else in Dubrovnik the cable car is crazy expensive ( and I live in Paris ‚Ä∞√õ√ì used to very high prices ) .,,,,;Como todo en Dubrovnik, el teleférico es carísimo (y vivo en París, acostumbrado a precios muy altos).;Comme tout à Dubrovnik, le téléphérique est extrêmement cher (et je vis à Paris, habitué aux prix très élevés).;Wie alles andere in Dubrovnik ist auch die Seilbahn wahnsinnig teuer (und ich lebe in Paris – bin an sehr hohe Preise gewöhnt).;Come tutto il resto a Dubrovnik la funivia è follemente costosa (e io vivo a Parigi ‚Ä∞√õ√ì abituato a prezzi molto alti) .,,,,
At the top the panoramic views of this beautiful city are breathtaking .,,,,;En la cima, las vistas panorámicas de esta hermosa ciudad son impresionantes.;Du sommet, la vue panoramique sur cette magnifique ville est à couper le souffle.;Oben angekommen, ist der Panoramablick auf diese wunderschöne Stadt atemberaubend.;In cima le viste panoramiche di questa bellissima città sono mozzafiato .,,,,
Cable car is the way to go to see the best scenic views of Old Town and coastline all along Dubrovnik .,,,,;El teleférico es la mejor opción para disfrutar de las mejores vistas panorámicas del casco antiguo y la costa de Dubrovnik.;Le téléphérique est le moyen idéal pour admirer les plus belles vues panoramiques sur la vieille ville et le littoral tout au long de Dubrovnik.;Die Seilbahn ist die beste Möglichkeit, um die schönsten Ausblicke auf die Altstadt und die Küste entlang Dubrovniks zu genießen.;La funivia è il modo migliore per vedere le migliori viste panoramiche della Città Vecchia e della costa lungo tutta Dubrovnik .,,,,
Found car to be very crouded and claustrophobic so not much of view unless you were next to window .,,,,;Encontré el vagón muy lleno y claustrofóbico, así que no hay muchas vistas a menos que estés junto a la ventana.;J'ai trouvé le téléphérique bondé et claustrophobe, donc peu de vue, sauf si vous êtes près de la fenêtre.;Die Bahn war sehr überfüllt und klaustrophobisch, daher hatte man kaum eine Aussicht, es sei denn, man saß direkt am Fenster.;Ho trovato la macchina molto affollata e claustrofobica quindi non c'è molta vista a meno che non fossi vicino al finestrino .,,,,
Do not board a larger minubus .,,,,;No tomes un minibús grande.;Ne montez pas dans un minibus plus grand.;Steigen Sie nicht in einen größeren Minibus.;Non salire su un minibus più grande .,,,,
Beautiful vistas .,,,,;Hermosas vistas.;Magnifiques panoramas.;Wunderschöne Aussicht.;Bellissime viste .,,,,
Do not miss the fort and exhibit , too .,,,,;No te pierdas el fuerte y la exposición. .,,,,;Ne manquez pas non plus le fort et l'exposition. .,,,,;Verpassen Sie auch nicht die Festung und die Ausstellung. .,,,,;Non perderti nemmeno il forte e la mostra .,,,,
Bearing it mind it was change over day so every other transfer company was already fully booked we eventually found a taxi which cost an arm and a leg .,,,,;Teniendo en cuenta que era día de cambio, así que todas las demás compañías de traslados ya estaban completas, finalmente encontramos un taxi que nos costó un ojo de la cara.,,,,;Sachant que c'était le jour du changement, toutes les autres compagnies de transfert étaient déjà complètes, nous avons finalement trouvé un taxi qui nous a coûté une fortune.,,,,;Da an diesem Umstellungstag alle anderen Transferunternehmen bereits ausgebucht waren, fanden wir schließlich ein Taxi, das ein Vermögen kostete.,,,,;Tenendo presente che era giorno di cambio, quindi tutte le altre compagnie di trasferimento erano già al completo, alla fine abbiamo trovato un taxi che è costato un occhio della testa.,,,,
Both times they have send a standard car without notice me or changed the price .,,,,;En ambas ocasiones nos enviaron un coche estándar sin avisarme o cambiaron el precio.,,,,;Les deux fois, ils ont envoyé une voiture standard sans me prévenir ni modifier le prix.,,,,;Beide Male schickten sie mir ohne Vorankündigung ein Standardauto oder änderten den Preis.,,,,;Entrambe le volte hanno inviato un'auto standard senza avvisarmi o hanno cambiato il prezzo.,,,,
A complete disgrace to the Croation people .,,,,;Una completa vergüenza para los croatas.,,,,;Une honte totale pour le peuple croate.,,,,;Eine absolute Schande für die Kroaten.,,,,;Una vergogna completa per il popolo croato.,,,,
Drivers are very rude to talk .,,,,;Los conductores son muy groseros.,,,,;Les chauffeurs sont très impolis.,,,,;Die Fahrer sind sehr unhöflich.,,,,;Gli autisti sono molto maleducati a parlare.,,,,
After enjoying walking around the top area and checking out the sights , we found a weary looking couple who had walked up , gave them our unwanted tickets then found the path and descended on foot .,,,,;Después de disfrutar caminando por la zona alta y viendo las vistas, encontramos a una pareja con aspecto cansado que había subido caminando. Les dimos nuestros billetes no deseados, luego encontramos el camino y bajamos a pie.,,,,;Après avoir profité de la promenade en haut de la colline et admiré les sites touristiques, nous avons croisé un couple à l'air fatigué qui était monté, leur avait donné nos contraventions non désirées, puis avait trouvé le chemin et était redescendu à pied.,,,,;Nachdem wir den Spaziergang durch die obere Gegend und die Sehenswürdigkeiten genossen hatten, trafen wir ein müde aussehendes Paar, das hinaufgegangen war. Wir gaben ihnen unsere nicht benötigten Tickets, fanden den Weg und gingen zu Fuß hinunter.,,,,;Dopo esserci goduti una passeggiata nella zona superiore e aver dato un'occhiata alle attrazioni, abbiamo trovato una coppia dall'aspetto stanco che era salita, abbiamo dato loro i nostri biglietti indesiderati, poi abbiamo trovato il sentiero e siamo scesi a piedi.,,,,
BE ALERT   This company are not reliable , and they don ` t let the things CLEARLY .,,,,;ATENCIÓN: Esta compañía no es fiable y no deja las cosas claras.,,,,;ATTENTION : cette compagnie n'est pas fiable et ne laisse rien paraître.,,,,;ACHTUNG! Dieses Unternehmen ist nicht zuverlässig und lässt die Dinge nicht klar erkennen.,,,,;SIATE ATTENTI Questa compagnia non è affidabile e non lasciano le cose CHIARAMENTE.,,,,
A can not miss for the best view of the city .,,,,;Una visita obligada para disfrutar de la mejor vista de la ciudad.,,,,;Un incontournable pour la meilleure vue sur la ville.,,,,;Ein absolutes Muss für den besten Blick auf die Stadt.,,,,;Da non perdere per la migliore vista della città.,,,,
