English,Spanish,French,German,Italian;;;;
Cable car gives quick access to spectacular views over Dubrovnik and out to the islands .,,,,;El teleférico ofrece acceso rápido a vistas espectaculares de Dubrovnik y las islas.;Le téléphérique offre un accès rapide à des vues spectaculaires sur Dubrovnik et les îles.;Die Seilbahn bietet schnellen Zugang zu spektakulären Ausblicken über Dubrovnik und die Inseln.;La funivia offre un rapido accesso a viste spettacolari su Dubrovnik e sulle isole.,,,,
A museum at the top in an old fort and also good restaurant .,,,,;Un museo en la cima de un antiguo fuerte y también un buen restaurante.;Un musée au sommet d'un vieux fort et un bon restaurant.;Oben in einer alten Festung befindet sich ein Museum und ein gutes Restaurant.;Un museo in cima in un vecchio forte e anche un buon ristorante.,,,,
Dubrovnik Old Town is magical and nowhere more so than at the top of the mountain , accessed by the cable car !,,,,;El casco antiguo de Dubrovnik es mágico, y en ningún otro lugar es más mágico que en la cima de la montaña, ¡al que se accede en teleférico!;La vieille ville de Dubrovnik est magique, et nulle part ailleurs qu'au sommet de la montagne, accessible par le téléphérique !;Die Altstadt von Dubrovnik ist magisch, und nirgendwo ist sie so magisch wie auf dem Gipfel des Berges, den man mit der Seilbahn erreicht!;La città vecchia di Dubrovnik è magica e da nessuna parte più che in cima alla montagna, raggiungibile con la funivia!,,,,
Even more disgruntled that we did not even get an apology from the company !,,,,;¡Qué disgusto aún mayor que ni siquiera recibimos una disculpa de la compañía!;Nous sommes encore plus mécontents de ne pas avoir reçu d'excuses de la part de la compagnie !;Noch ärgerlicher ist es, dass wir nicht einmal eine Entschuldigung vom Unternehmen erhalten haben!;Ancora più delusi dal fatto che non abbiamo nemmeno ricevuto delle scuse dalla compagnia!,,,,
A very short and expensive trip .,,,,;Un viaje muy corto y caro.;Un trajet très court et cher.;Eine sehr kurze und teure Fahrt.;Un viaggio molto breve e costoso.,,,,
Do not waste your money on the cable car .,,,,;No malgastes tu dinero en el teleférico.;Ne gaspillez pas votre argent dans le téléphérique.;Verschwenden Sie Ihr Geld nicht für die Seilbahn.;Non sprecare i tuoi soldi con la funivia.,,,,
A bargain and a must .,,,,;Una ganga, una visita obligada.;Une bonne affaire et un incontournable.;Ein Schnäppchen und ein Muss.;Un affare e un must.,,,,
A very short ride for an expensive price of a view that was all most the same as that from the approach of a service bus .,,,,;Un viaje muy corto por un precio elevado, con unas vistas prácticamente iguales a las que se ven desde un autobús.;Un trajet très court pour un prix élevé, avec une vue quasiment identique à celle d'un bus.;Eine sehr kurze Fahrt zu einem hohen Preis mit einer Aussicht, die fast der eines Linienbusses entsprach.;Un viaggio molto breve a un prezzo elevato per una vista che era quasi la stessa di quella che si poteva ammirare dall'avvicinarsi di un autobus di linea.,,,,
Definitely not to be missed  .,,,,;Definitivamente no te lo puedes perder.;À ne surtout pas manquer.;Auf keinen Fall verpassen.;Sicuramente da non perdere.,,,,
And it is not expensive !,,,,;¡Y no es caro!;Et ce n'est pas cher !;Und es ist nicht teuer!;E non è costoso!,,,,
After much discussion they offered the number for a taxi company , but that company failed to pick up others so we waited out the storm and walked down in the dark , very late at night .,,,,;Después de mucho discutir, nos ofrecieron el número de una compañía de taxis, pero esa compañía no consiguió recoger a otros, así que... Esperé a que pasara la tormenta y bajé caminando en la oscuridad, muy tarde en la noche.;Après de longues discussions, ils nous ont proposé le numéro d'une compagnie de taxi, mais celle-ci n'a pas pu prendre d'autres passagers. Nous avons donc attendu la fin de la tempête et sommes descendus à pied dans le noir. Tard dans la nuit…;Nach langer Diskussion gaben sie uns die Nummer eines Taxiunternehmens, aber dieses Unternehmen nahm keine anderen mit, also warteten wir das Ende des Sturms ab und gingen zu Fuß im Dunkeln hinunter, sehr spät in der Nacht. .,,,,;Dopo una lunga discussione ci hanno offerto il numero di una compagnia di taxi, ma quella compagnia non è riuscita a prenderne altre, quindi abbiamo aspettato che passasse la tempesta e siamo scesi a piedi al buio , molto tardi la notte .,,,,
Forget seeing anything out of the cable car as they are too packed .,,,,;Olvídate de ver nada desde el teleférico, ya que están demasiado llenos.;Oubliez toute visite depuis le téléphérique, il y a trop de monde…;Von der Seilbahn aus kann man nichts sehen, da sie zu voll sind.,,,,;Dimenticatevi di vedere qualcosa fuori dalla funivia perché sono troppo affollate .,,,,
But there was no driver to pick us up .,,,,;Pero no había conductor que nos recogiera.;Mais il n'y avait pas de chauffeur pour venir nous chercher…;Aber es gab keinen Fahrer, der uns abholen konnte.,,,,;Ma non c'era nessun autista a prenderci .,,,,
Fab views of old city from top & has an interesting museum within the fort on the war .,,,,;Vistas fabulosas del casco antiguo desde arriba y tiene un interesante museo dentro del fuerte sobre la guerra.;Vue imprenable sur la vieille ville depuis le sommet et musée intéressant sur la guerre dans le fort…;Fantastische Aussicht auf die Altstadt von oben und ein interessantes Museum in der Festung über den Krieg.,,,,;Viste fantastiche della città vecchia dall'alto e c'è un interessante museo all'interno del forte sulla guerra .,,,,
An excellent way to view the old city without climbing all the steps .,,,,;Una excelente manera de ver el casco antiguo sin subir todas las escaleras.;Un excellent moyen de découvrir la vieille ville sans gravir toutes les marches…;Eine hervorragende Möglichkeit, die Altstadt zu besichtigen, ohne all die Stufen hinaufsteigen zu müssen.,,,,;Un modo eccellente per vedere la città vecchia senza salire tutti i gradini .,,,,
And we lucked out as it was right before sunset began .,,,,;Y tuvimos suerte, ya que era justo antes del atardecer.;Et nous avons eu de la chance, c'était juste avant le coucher du soleil…;Und wir hatten Glück, denn es war kurz vor Sonnenuntergang.,,,,;E siamo stati fortunati perché era appena prima che iniziasse il tramonto .,,,,
But I do not know what services are worth paying for on this trip .,,,,;Pero no sé qué servicios vale la pena pagar en este viaje.;Mais je ne sais pas quels services valent la peine d'être payés pour ce voyage…;Aber ich weiß nicht, für welche Leistungen sich bei dieser Reise das Geld lohnt.,,,,;Ma non so quali servizi valga la pena pagare per questo viaggio .,,,,
Especially because no one says it really but you can either walk up there either go by car ( 10/15 min from Dubrovnik ) .,,,,;Sobre todo porque nadie lo dice realmente, pero puedes subir caminando o ir en coche (a 10/15 minutos de Dubrovnik).;Surtout parce que personne ne le dit vraiment, mais on peut y aller à pied ou en voiture (à 10/15 minutes de Dubrovnik)…;Vor allem, weil es niemand so genau sagt, aber man kann entweder zu Fuß hochgehen oder mit dem Auto fahren (10–15 Minuten von Dubrovnik).,,,,;Soprattutto perché nessuno lo dice davvero ma puoi salire a piedi o andare in macchina (10/15 minuti da Dubrovnik) .,,,,
As soon as the call ended , I immediately received an e mail to say that my transfers had been cancelled .,,,,;En cuanto terminé la llamada, recibí inmediatamente un correo electrónico diciendo que mis traslados habían sido cancelados.;Dès la fin de l'appel, j'ai immédiatement reçu un e-mail m'informant que mes transferts avaient été annulés…;Sobald das Gespräch beendet war, erhielt ich sofort eine E-Mail, dass meine Transfers abgesagt worden waren.,,,,;Non appena la chiamata è finita, ho ricevuto immediatamente un'e-mail per dire che i miei trasferimenti erano stati cancellati .,,,,
Our tour guide - Anna - was very hurried and disorganized .,,,,;Nuestra guía turística, Anna, estaba muy apresurada y desorganizada.;Notre guide, Anna, était très pressée et désorganisée…;Unsere Reiseleiterin Anna war sehr eilig und unorganisiert.,,,,;La nostra guida turistica, Anna, era molto frettolosa e disorganizzata .,,,,
As you get into the cable car head to the front for an incredible view as you descend .,,,,;Como Sube al teleférico y dirígete a la parte delantera para disfrutar de unas vistas increíbles mientras desciendes.;En montant dans le téléphérique, dirigez-vous vers l'avant pour une vue incroyable. Descente.;Beim Einsteigen in die Seilbahn sollte man nach vorne gehen, um beim Hinunterfahren eine unglaubliche Aussicht zu genießen. .,,,,;Quando sali sulla funivia, dirigiti verso la parte anteriore per una vista incredibile mentre scendi .,,,,
By this time the second car had descended , however , another 10 minutes passed before the ticket office opened .,,,,;"Para entonces, el segundo teleférico ya había descendido; sin embargo, pasaron otros 10 minutos antes de que abriera la taquilla.";À ce moment-là, la deuxième voiture était déjà descendue, mais 10 minutes supplémentaires se sont écoulées avant l'ouverture de la billetterie.;Inzwischen war der zweite Wagen bereits unten angekommen, es dauerte jedoch noch 10 Minuten, bis der Fahrkartenschalter öffnete.,,,,;A questo punto la seconda carrozza era scesa, tuttavia, sono passati altri 10 minuti prima che la biglietteria aprisse .,,,,
Excellent views of Dubrovnik and wonderful food at the summit restaurant , just be sure to book a table in advanced especially if you desire a table with a view .,,,,;Excelentes vistas de Dubrovnik y comida maravillosa en el restaurante de la cima. Solo asegúrate de reservar mesa con antelación, especialmente si deseas una mesa con vistas.;Excellentes vues sur Dubrovnik et excellente cuisine au restaurant du sommet. Pensez à réserver une table à l'avance, surtout si vous souhaitez une table avec vue.;Hervorragende Aussicht auf Dubrovnik und wunderbares Essen im Gipfelrestaurant. Reservieren Sie unbedingt im Voraus, besonders wenn Sie einen Tisch mit Aussicht wünschen.,,,,;Viste eccellenti di Dubrovnik e cibo meraviglioso al ristorante in cima, assicurati solo di prenotare un tavolo in anticipo, soprattutto se desideri un tavolo con vista .,,,,
A great insight to the history and background of the area .,,,,;Una gran perspectiva de la historia y los antecedentes de la zona.;Un excellent aperçu de l'histoire et du contexte de la région.;Ein großartiger Einblick in die Geschichte und den Hintergrund der Region.,,,,;Una grande panoramica della storia e del contesto della zona .,,,,
Enjoyed a good beer on top of the city .,,,,;Disfrutamos de una buena cerveza en la cima de la ciudad.;Nous avons dégusté une bonne bière au sommet de la ville.;Wir haben ein gutes Bier auf dem Dach der Stadt genossen.,,,,;Ci siamo goduti una buona birra in cima alla città .,,,,
By then there was total confusion and people were getting into taxis that others had called for in desperation .,,,,;Para entonces, la confusión era total y la gente se subía a los taxis que otros habían pedido desesperadamente.;À ce moment-là, la confusion était totale et les gens montaient dans des taxis que d'autres avaient appelés en désespoir de cause.;Inzwischen herrschte völliges Durcheinander, und die Leute stiegen in Taxis, die andere verzweifelt gerufen hatten.,,,,;A quel punto c'era confusione totale e le persone salivano sui taxi che altri avevano chiamato per disperazione .,,,,
At the border there was a hassle with the drivers documents we think as he was taken away for around 20 minutes with no explanation even when he got back .,,,,;En la frontera, creemos que hubo un problema con los documentos del conductor, ya que se lo llevaron durante unos 20 minutos sin ninguna explicación, incluso cuando regresó.;À la frontière, il y a eu un problème avec les papiers du conducteur, nous pensons qu'il a été emmené pendant environ 20 minutes sans aucune explication, même à son retour.;An der Grenze gab es vermutlich Ärger mit den Fahrerpapieren, da er für etwa 20 Minuten ohne Erklärung abgeführt wurde, selbst als er zurückkam.,,,,;Al confine c'è stato un problema con i documenti dell'autista, pensiamo, perché è stato portato via per circa 20 minuti senza spiegazioni, anche quando è tornato .,,,,
