English,Spanish,French,German,Italian;;;;
Dune buggies were available for driving !,,,,;;Des buggys étaient disponibles pour la conduite !;Dünenbuggys standen zum Fahren bereit!;Dune buggy disponibili per la guida!
Check out the cafe / restaurant and enjoy a drink whilst taking in the view !,,,,;;Découvrez le café/restaurant et prenez un verre tout en admirant la vue !;Schaut euch das Café/Restaurant an und genießt einen Drink bei herrlicher Aussicht!;Dai un'occhiata al bar/ristorante e goditi un drink mentre ammiri il panorama!
BUT the planning of the tour is not that good , We met at 7am , but we have no place to have a breakfast , only a place selling coffee ( quite good and really cheap ) .,,,,;;MAIS l'organisation de l'excursion n'était pas optimale. Nous nous sommes retrouvés à 7 h, mais nous n'avions pas d'endroit pour prendre le petit-déjeuner, seulement un café (assez bon et vraiment pas cher).;ABER die Tourplanung ist nicht so gut. Wir trafen uns um 7 Uhr morgens, aber wir hatten keinen Ort zum Frühstücken, nur einen Laden, der Kaffee verkaufte (ziemlich gut und wirklich günstig).;MA la pianificazione del tour non è così buona, ci siamo incontrati alle 7 del mattino, ma non avevamo un posto dove fare colazione, solo un posto che vendeva caffè (abbastanza buono e davvero economico).
After 30 minutes they rang to cancel the booking .,,,,;;Au bout de 30 minutes, ils ont appelé pour annuler la réservation.;Nach 30 Minuten riefen sie an, um die Buchung zu stornieren.;Dopo 30 minuti hanno chiamato per annullare la prenotazione.
Expensive and disappointing give it a miss.,,,,;;Cher et décevant, à éviter !;Teuer und enttäuschend, also lasst es bleiben.;Costoso e deludente, lasciate perdere.
Dubrovnik is a beautiful city to walk and explore .,,,,;;Dubrovnik est une ville magnifique à explorer et à se promener.;Dubrovnik ist eine wunderschöne Stadt zum Spazierengehen und Erkunden.;Dubrovnik è una bellissima città da visitare a piedi.
10 mins later and still with the same customer we walked away !,,,,;;10 minutes plus tard, toujours avec le même client, nous sommes repartis !;10 Minuten später und immer noch mit demselben Kunden gingen wir weg!;10 minuti dopo e ancora con lo stesso cliente ce ne siamo andati!
Although very crowded with bus loads of tourists , the view from the top of the old town and panoramic views of the Adriatic sea and coastline are just simply fabulous .,,,,;;Malgré la foule de bus bondés de touristes, la vue depuis le sommet de la vieille ville et le panorama sur la mer Adriatique et le littoral sont tout simplement fabuleux.;Obwohl es sehr voll mit Busladungen von Touristen war, ist die Aussicht von oben auf die Altstadt und der Panoramablick auf die Adria und die Küste einfach fantastisch.;Sebbene molto affollata di autobus carichi di turisti, la vista dalla cima della città vecchia e le viste panoramiche del mare Adriatico e della costa sono semplicemente favolose.
"After 30 min of waiting under the sun we complained and said that in 2 minutes the promised "" van "" white mercedes would arrive .,,,,";;Après 30 minutes d'attente sous le soleil, nous nous sommes plaints et avons dit que dans 2 minutes, la camionnette Mercedes blanche promise arriverait.;Nach 30 Minuten Wartezeit in der Sonne beschwerten wir uns und sagten, dass in 2 Minuten der versprochene weiße Mercedes-Van kommen würde.;"Dopo 30 minuti di attesa sotto il sole ci siamo lamentati e abbiamo detto che in 2 minuti sarebbe arrivato il ""van"" Mercedes bianco promesso."
Dubrovnik is such a beautiful place and one way to see this is by doing this and going up the cable car .,,,,;;Dubrovnik est un endroit magnifique, et une façon de le découvrir est de prendre le téléphérique.;Dubrovnik ist ein wunderschöner Ort, und eine Möglichkeit, ihn zu sehen, ist, dies zu tun und mit der Seilbahn hinaufzufahren.;Dubrovnik è un posto così bello e un modo per vederlo è farlo e salire sulla funivia.
About 24 26 ‚Ä∞√¢√Ç for two trips of 2 minutes each , the view was nice but absolutely not worth the price , one of the most ridiculously overpriced things I have ever seen .,,,,;;Comptez environ 24 à 26 € pour deux trajets de 2 minutes chacun. La vue était belle, mais le prix ne valait absolument pas le coup, l'un des prix les plus exorbitants que j'aie jamais vus.;Ungefähr 24 – 26 Uhr für zwei Fahrten von jeweils 2 Minuten. Die Aussicht war schön, aber den Preis absolut nicht wert. Eines der absurdesten und überteuertesten Dinge, die ich je gesehen habe.;Circa 24 26 ‚Ä∞√¢√Ç per due viaggi di 2 minuti ciascuno, la vista era bella ma non valeva assolutamente il prezzo, una delle cose più ridicolmente costose che abbia mai visto.
A must for your visit to Dubrovnik amazing views cable car runs every 15 mins you can buy tickets at the entrance or prior .,,,,;;Incontournable lors de votre visite à Dubrovnik : le téléphérique offre une vue imprenable toutes les 15 minutes. Vous pouvez acheter vos billets à l'entrée ou à l'avance.;Ein Muss bei Ihrem Besuch in Dubrovnik: Die Seilbahn mit ihrer fantastischen Aussicht fährt alle 15 Minuten. Tickets können Sie am Eingang oder vorher kaufen.;Un must per la tua visita a Dubrovnik, la funivia con viste meravigliose passa ogni 15 minuti, puoi acquistare i biglietti all'ingresso o prima.
But to fully appreciate the beauty of Dubrovnik , ride the cable car ride to one of the most scenic overviews you will see in Croatia .,,,,;;Mais pour apprécier pleinement la beauté de Dubrovnik, prenez le téléphérique jusqu'à l'un des plus beaux panoramas de Croatie.;Um die Schönheit von Dubrovnik jedoch voll und ganz zu genießen, fahren Sie mit der Seilbahn zu einem der malerischsten Aussichtspunkte, die Sie in Kroatien sehen werden.;Ma per apprezzare appieno la bellezza di Dubrovnik, prendi la funivia per uno dei panorami più panoramici che vedrai in Croazia.
After 30 minutes Anna did finally update us and said that the bus driver went to have ‚Ä∞√õ√è teeth surgery ‚Ä∞√õ¬ù after he dropped us off earlier , and that is why he was late .,,,,;;Au bout de 30 minutes, Anna nous a finalement informés que le chauffeur de bus était allé se faire opérer des dents après nous avoir déposés plus tôt, et que c'était la raison de son retard.;Nach 30 Minuten informierte uns Anna endlich und sagte, dass der Busfahrer zu einer „Zahn-OP“ musste, nachdem er uns vorher abgesetzt hatte, und dass er deshalb zu spät gekommen sei.;"Dopo 30 minuti, Anna ci ha finalmente aggiornato e ha detto che l'autista dell'autobus è andato a fare un ""intervento ai denti"" dopo che ci aveva lasciato prima, ed è per questo che era in ritardo."
Absolutely unacceptable .,,,,;;Absolument inacceptable.;Absolut inakzeptabel.;Assolutamente inaccettabile.
